subj,level,trial,order,LHIPA,pavg,pcpd
P07,PHY,figs,10,11.466667,1.765525,1.661035669
P07,PHY,figs,14,51.333333,1.675525,2.8071201560000003
P07,PHY,intro,6,6.016393,1.805311,3.6683430169999998
P07,PHY,methodology,8,6.0117650000000005,1.675844,8.473521402000001
P07,PHY,methodology,12,11.75,1.8127689999999999,0.028133756
P07,PHY,methodology,16,6.0263160000000005,1.812876,-2.350574446
P07,PHY,none,1,24.75,2.33946,-10.81249519
P07,PHY,none,3,0.0,2.7782720000000003,0.0
P07,PHY,none,5,0.0,2.574537,0.0
P07,PHY,none,7,0.0,1.677371,0.0
P07,PHY,none,9,0.0,1.62006,0.0
P07,PHY,none,11,0.0,2.049271,0.0
P07,PHY,none,13,0.0,1.556616,0.0
P07,PHY,none,15,0.0,1.55403,0.0
P07,PHY,none,17,22.9,1.7473470000000002,11.76326168
P07,PHY,title,2,60.0,1.83998,0.90664029
